code,name,account_type,is_transactional
1,ACTIVO,ASSET,false
1.1,ACTIVO CORRIENTE,ASSET,false
1.1.1,EFECTIVO Y EQUIVALENTES,ASSET,false
1.1.1.01,CAJA GENERAL,ASSET,true
1.1.1.02,CAJA CHICA,ASSET,true
1.1.1.03,BANCO MONETARIA GTQ,ASSET,true
1.1.1.04,BANCO MONETARIA USD,ASSET,true
1.1.2,CUENTAS POR COBRAR,ASSET,false
1.1.2.01,CLIENTES NACIONALES,ASSET,true
1.1.2.02,CLIENTES EXTERIOR,ASSET,true
1.1.2.03,DOCUMENTOS POR COBRAR,ASSET,true
1.1.3,INVENTARIOS,ASSET,false
1.1.3.01,INVENTARIO MERCADERIA,ASSET,true
1.1.3.02,INVENTARIO EN TRANSITO,ASSET,true
1.1.4,ANTICIPOS Y GASTOS PAGADOS,ASSET,false
1.1.4.01,ANTICIPO A PROVEEDORES,ASSET,true
1.1.4.02,SEGUROS PAGADOS ANTICIPADO,ASSET,true
1.1.4.03,ALQUILERES PAGADOS ANTICIPADO,ASSET,true
1.1.5,IMPUESTOS ACREDITABLES,ASSET,false
1.1.5.01,IVA CREDITO FISCAL,ASSET,true
1.1.5.02,ISR RETENCIONES POR COMPENSAR,ASSET,true
1.2,ACTIVO NO CORRIENTE,ASSET,false
1.2.1,PROPIEDAD PLANTA Y EQUIPO,ASSET,false
1.2.1.01,TERRENOS,ASSET,true
1.2.1.02,EDIFICIOS,ASSET,true
1.2.1.03,MAQUINARIA Y EQUIPO,ASSET,true
1.2.1.04,VEHICULOS,ASSET,true
1.2.1.05,MOBILIARIO Y EQUIPO,ASSET,true
1.2.2,DEPRECIACION ACUMULADA,ASSET,false
1.2.2.01,DEPRECIACION ACUMULADA EDIFICIOS,ASSET,true
1.2.2.02,DEPRECIACION ACUMULADA MAQUINARIA,ASSET,true
1.2.2.03,DEPRECIACION ACUMULADA VEHICULOS,ASSET,true
1.2.2.04,DEPRECIACION ACUMULADA MOBILIARIO,ASSET,true
1.2.3,ACTIVOS INTANGIBLES,ASSET,false
1.2.3.01,SOFTWARE,ASSET,true
1.2.3.02,LICENCIAS,ASSET,true
2,PASIVO,LIABILITY,false
2.1,PASIVO CORRIENTE,LIABILITY,false
2.1.1,CUENTAS POR PAGAR COMERCIALES,LIABILITY,false
2.1.1.01,PROVEEDORES LOCALES,LIABILITY,true
2.1.1.02,PROVEEDORES EXTERIOR,LIABILITY,true
2.1.2,OBLIGACIONES LABORALES,LIABILITY,false
2.1.2.01,SUELDOS POR PAGAR,LIABILITY,true
2.1.2.02,IGSS POR PAGAR,LIABILITY,true
2.1.2.03,RETENCIONES LABORALES POR PAGAR,LIABILITY,true
2.1.3,IMPUESTOS POR PAGAR,LIABILITY,false
2.1.3.01,IVA DEBITO FISCAL POR PAGAR,LIABILITY,true
2.1.3.02,ISR POR PAGAR,LIABILITY,true
2.1.3.03,ISO POR PAGAR,LIABILITY,true
2.1.4,OBLIGACIONES FINANCIERAS CORTO PLAZO,LIABILITY,false
2.1.4.01,PRESTAMOS BANCARIOS CP,LIABILITY,true
2.1.4.02,TARJETAS DE CREDITO POR PAGAR,LIABILITY,true
2.2,PASIVO NO CORRIENTE,LIABILITY,false
2.2.1,OBLIGACIONES FINANCIERAS LARGO PLAZO,LIABILITY,false
2.2.1.01,PRESTAMOS BANCARIOS LP,LIABILITY,true
2.2.2,PROVISIONES,LIABILITY,false
